Ville,Lien,Jean-Luc Mélenchon,Emmanuel Macron,Marine Le Pen,Éric Zemmour,Valérie Pécresse,Yannick Jadot,Fabien Roussel,Jean Lassalle,Nicolas Dupont-Aignan,Anne Hidalgo,Philippe Poutou,Nathalie Arthaud,Taux de participation,Taux d'abstention,Votes blancs (en pourcentage des votes exprimés),Votes nuls (en pourcentage des votes exprimés),Nombre de votants
bussieres,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-bussieres/ville-77057,19.91,25.97,25.54,9.09,9.09,2.60,0.43,2.60,1.30,1.73,0.87,0.87,76.19,23.81,3.33,0.42,240.0
soisy-bouy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-soisy-bouy/ville-77456,16.74,20.17,31.97,7.94,9.66,2.36,2.15,3.86,1.93,1.50,0.64,1.07,79.36,20.64,1.27,0.21,473.0
ocquerre,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-ocquerre/ville-77343,14.50,21.50,35.00,10.00,5.50,1.50,3.50,1.50,2.00,0.00,4.50,0.50,74.73,25.27,0.97,2.42,207.0
everly,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-everly/ville-77174,16.92,20.00,34.77,7.38,7.69,2.15,1.85,2.77,3.38,1.54,0.92,0.62,71.79,28.21,2.68,0.6,336.0
champdeuil,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-champdeuil/ville-77081,20.39,18.46,34.16,5.23,5.79,4.13,1.38,2.20,3.86,2.20,1.65,0.55,86.31,13.69,2.15,0.27,372.0
maincy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-maincy/ville-77269,16.70,27.80,27.70,6.92,5.91,4.99,2.65,2.55,2.34,1.12,0.81,0.51,76.3,23.7,2.18,0.69,1 011
mouy-sur-seine,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mouy-sur-seine/ville-77325,12.20,17.56,40.00,11.22,11.71,0.49,0.49,1.46,2.93,0.49,0.49,0.98,72.92,27.08,1.9,0.48,210.0
sigy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sigy/ville-77452,14.52,14.52,25.81,17.74,24.19,3.23,0.00,0.00,0.00,0.00,0.00,0.00,94.03,5.97,1.59,0.0,63.0
dammarie-les-lys,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-dammarie-les-lys/ville-77152,37.11,22.19,17.65,6.20,4.96,3.86,2.28,1.79,1.76,1.04,0.62,0.55,67.22,32.78,1.05,0.63,8 086
courpalay,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-courpalay/ville-77135,16.14,19.18,38.49,9.52,4.76,2.38,2.25,1.59,2.91,0.79,0.93,1.06,72.99,27.01,1.55,0.65,773.0
