Ville,Lien,Jean-Luc Mélenchon,Emmanuel Macron,Marine Le Pen,Éric Zemmour,Valérie Pécresse,Yannick Jadot,Fabien Roussel,Jean Lassalle,Nicolas Dupont-Aignan,Anne Hidalgo,Philippe Poutou,Nathalie Arthaud,Taux de participation,Taux d'abstention,Votes blancs (en pourcentage des votes exprimés),Votes nuls (en pourcentage des votes exprimés),Nombre de votants
sept-sorts,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sept-sorts/ville-77448,24.67,24.33,28.67,5.00,8.33,3.00,3.00,1.00,1.33,0.33,0.33,0.00,81.33,18.67,1.64,0.0,305.0
chalautre-la-grande,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chalautre-la-grande/ville-77072,14.93,17.31,37.31,7.76,12.24,2.39,2.09,2.99,2.09,0.60,0.00,0.30,75.05,24.95,2.31,0.87,346.0
buthiers,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-buthiers/ville-77060,16.36,24.07,23.60,9.35,8.64,6.78,3.50,3.97,2.34,0.70,0.23,0.47,82.14,17.86,1.6,0.46,437.0
saint-augustin,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-augustin/ville-77400,17.49,27.13,29.87,7.56,4.73,4.16,1.61,2.17,3.21,0.66,0.76,0.66,77.95,22.05,1.48,0.37,1 078
hondevilliers,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-hondevilliers/ville-77228,16.23,19.48,37.66,8.44,7.79,1.30,0.65,1.95,4.55,0.65,0.65,0.65,75.59,24.41,1.86,2.48,161.0
leudon-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-leudon-en-brie/ville-77250,11.58,17.89,33.68,10.53,12.63,4.21,0.00,2.11,5.26,0.00,2.11,0.00,85.09,14.91,2.06,0.0,97.0
mery-sur-marne,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mery-sur-marne/ville-77290,21.07,24.04,26.71,5.34,4.15,5.34,2.97,3.56,4.45,1.48,0.59,0.30,73.97,26.03,1.17,0.0,341.0
ferrieres-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-ferrieres-en-brie/ville-77181,21.64,30.44,19.77,7.45,5.87,5.57,1.17,2.52,3.11,1.35,0.47,0.65,83.51,16.49,2.17,0.51,1 752
sognolles-en-montois,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-sognolles-en-montois/ville-77454,17.86,20.24,31.35,12.70,3.97,5.56,3.17,0.40,3.97,0.00,0.79,0.00,79.03,20.97,3.08,0.0,260.0
salins,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-salins/ville-77439,21.29,17.04,33.56,9.54,4.94,3.75,2.90,2.73,2.04,0.68,1.02,0.51,74.47,25.53,0.17,2.16,601.0
chambry,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-chambry/ville-77077,13.09,25.64,30.18,6.55,8.18,6.00,1.64,2.18,4.00,1.09,1.09,0.36,77.56,22.44,2.29,0.71,567.0
la-grande-paroisse,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-la-grande-paroisse/ville-77210,23.91,17.92,34.11,7.24,6.34,2.76,1.45,2.41,1.52,1.24,0.55,0.55,76.06,23.94,1.55,0.67,1 484
jouarre,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-jouarre/ville-77238,22.01,21.13,32.13,7.15,5.89,2.30,2.61,1.46,2.82,0.94,1.25,0.31,70.65,29.35,1.68,0.71,1 964
mortery,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mortery/ville-77319,11.84,38.16,30.26,3.95,13.16,0.00,1.32,0.00,0.00,1.32,0.00,0.00,74.29,25.71,1.28,1.28,78.0
mortcerf,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-mortcerf/ville-77318,15.05,25.25,29.73,8.58,7.96,4.10,1.99,2.74,2.99,0.62,0.37,0.62,82.01,17.99,2.06,0.48,825.0
vinantes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-vinantes/ville-77525,20.36,13.77,46.71,4.79,2.99,2.99,1.20,2.40,1.20,1.80,1.80,0.00,72.65,27.35,1.18,0.59,170.0
pamfou,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-pamfou/ville-77354,17.81,24.49,30.98,4.82,4.08,4.45,3.15,4.64,3.71,0.74,0.56,0.56,79.8,20.2,2.33,0.9,557.0
vaudoy-en-brie,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-vaudoy-en-brie/ville-77486,16.13,22.37,33.55,6.67,7.96,4.30,1.08,2.58,3.87,0.65,0.65,0.22,79.53,20.47,0.85,0.21,470.0
saint-martin-en-biere,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-martin-en-biere/ville-77425,8.98,34.93,19.16,13.77,11.18,5.19,1.60,1.00,3.39,0.40,0.40,0.00,80.28,19.72,1.18,0.39,509.0
saacy-sur-marne,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saacy-sur-marne/ville-77397,19.56,18.92,34.04,9.73,4.55,3.59,2.01,1.69,3.07,1.06,0.63,1.16,76.22,23.78,2.06,0.51,971.0
cesson,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-cesson/ville-77067,26.54,28.02,18.32,6.30,5.18,5.73,1.79,2.14,2.47,1.90,0.85,0.78,78.32,21.68,1.69,0.54,5 928
aulnoy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-aulnoy/ville-77013,16.89,27.56,24.44,8.00,10.67,3.56,1.78,3.11,1.78,1.78,0.44,0.00,76.14,23.86,3.0,0.43,233.0
villeneuve-les-bordes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-villeneuve-les-bordes/ville-77509,16.30,12.85,49.22,5.96,3.45,2.51,0.94,2.19,4.70,0.94,0.63,0.31,78.4,21.6,0.93,0.31,323.0
meaux,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-meaux/ville-77284/,37.54,21.02,19.66,5.62,5.96,3.18,1.57,1.65,1.62,1.01,0.74,0.43,68.94,31.06,1.51,0.69,19 717
luzancy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-luzancy/ville-77265,21.69,20.31,32.53,6.37,3.79,4.13,2.41,1.72,4.65,0.52,0.86,1.03,74.71,25.29,1.19,0.0,588.0
vimpelles,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-vimpelles/ville-77524,14.29,14.91,46.27,8.07,6.21,2.17,2.17,1.55,2.80,0.00,0.93,0.62,78.04,21.96,1.53,0.0,327.0
touquin,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-touquin/ville-77469,16.21,22.43,34.01,8.83,4.49,4.92,1.88,2.60,2.46,1.30,0.43,0.43,77.28,22.72,2.25,0.56,711.0
jaignes,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-jaignes/ville-77235,9.38,16.67,45.83,6.77,3.65,6.25,2.08,5.21,1.56,1.56,0.52,0.52,77.25,22.75,2.03,0.51,197.0
arville,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-arville/ville-77009,16.67,19.05,29.76,8.33,13.10,1.19,0.00,5.95,1.19,2.38,1.19,1.19,79.44,20.56,0.0,1.18,85.0
saint-barthelemy,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-barthelemy/ville-77402,11.44,18.41,39.80,7.46,14.93,2.49,0.50,0.50,1.49,0.50,1.49,1.00,79.54,20.46,0.97,1.46,206.0
saint-leger,https://election-presidentielle.linternaute.com/resultats/resultat-de-la-presidentielle-a-saint-leger/ville-77417,17.46,14.29,36.51,10.32,10.32,1.59,0.79,2.38,2.38,1.59,0.00,2.38,79.25,20.75,0.0,0.0,126.0
