Ville,Lien,Allocataires CAF,Bénéficiaires du RSA, - bénéficiaires du RSA majoré, - bénéficiaires du RSA socle,Bénéficiaires de l'aide au logement, - bénéficiaires de l'APL (aide personnalisée au logement), - bénéficiaires de l'ALF (allocation de logement à caractère familial), - bénéficiaires de l'ALS (allocation de logement à caractère social), - bénéficiaires de l'Allocation pour une location immobilière, - bénéficiaires de l'Allocation pour un achat immobilier,Bénéficiaires des allocations familiales, - bénéficiaires du complément familial, - bénéficiaires de l'allocation de soutien familial, - bénéficiaires de l'allocation de rentrée scolaire,Médecins généralistes,Masseurs-kinésithérapeutes,Dentistes,Infirmiers,Spécialistes ORL,Ophtalmologistes,Dermatologues,Sage-femmes,Pédiatres,Gynécologues,Pharmacies,Urgences,Ambulances,Etablissements de santé de court séjour,Etablissements de santé de moyen séjour,Etablissements de santé de long séjour,Etablissement d'accueil du jeune enfant,Maisons de retraite,Etablissements pour enfants handicapés,Etablissements pour adultes handicapés,Bénéficiaires de la PAJE, - bénéficiaires de l'allocation de base, - bénéficiaires du complément mode de garde pour une assistante maternelle, - bénéficiaires du complément de libre choix d'activité (CLCA ou COLCA), - bénéficiaires de la prime naissance ou adoption,nbre allocataires (2009),nbre allocataires (2010),nbre allocataires (2011),nbre allocataires (2012),nbre allocataires (2013),nbre allocataires (2014),nbre allocataires (2015),nbre allocataires (2016),nbre allocataires (2017),nbre allocataires (2018),nbre allocataires (2019),nbre allocataires (2020),nbre RSA (2009),nbre RSA (2010),nbre RSA (2011),nbre RSA (2012),nbre RSA (2013),nbre RSA (2014),nbre RSA (2015),nbre RSA (2016),nbre RSA (2017),nbre RSA (2018),nbre RSA (2019),nbre RSA (2020),nbre APL (2009),nbre APL (2010),nbre APL (2011),nbre APL (2012),nbre APL (2013),nbre APL (2014),nbre APL (2015),nbre APL (2016),nbre APL (2017),nbre APL (2018),nbre APL (2019),nbre APL (2020),nbre Alloc Familiales (2009),nbre Alloc Familiales (2010),nbre Alloc Familiales (2011),nbre Alloc Familiales (2012),nbre Alloc Familiales (2013),nbre Alloc Familiales (2014),nbre Alloc Familiales (2015),nbre Alloc Familiales (2016),nbre Alloc Familiales (2017),nbre Alloc Familiales (2018),nbre Alloc Familiales (2019),nbre Alloc Familiales (2020)
Chelles (77500),https://www.journaldunet.com/management/ville/chelles/ville-77108//sante-social,11206.0,1477.0,192.0,1285.0,4397.0,2639.0,1010.0,748.0,4038.0,359.0,5148.0,1097.0,692.0,2997.0,33.0,21.0,26.0,43.0,3.0,5.0,1.0,3.0,4.0,2.0,15.0,0.0,11.0,0.0,0.0,0.0,8.0,4.0,1.0,1.0,2139.0,1824.0,492.0,135.0,63.0,8306.0,8541.0,8746.0,8815.0,9128.0,9256.0,9328.0,10066.0,10204.0,10357.0,10517.0,11206.0,1259.0,1413.0,1492.0,1555.0,1738.0,1863.0,1940.0,1416.0,1413.0,1457.0,1485.0,1477.0,3643.0,3700.0,3812.0,3894.0,3974.0,4018.0,4064.0,4205.0,4351.0,4447.0,4387.0,4397.0,4271.0,4402.0,4502.0,4504.0,4628.0,4732.0,4894.0,4996.0,5043.0,5101.0,5101.0,5148.0
Amillis (77120),https://www.journaldunet.com/management/ville/amillis/ville-77002/sante-social,132.0,7.0,nc,nc,28.0,11.0,10.0,7.0,23.0,5.0,64.0,14.0,5.0,34.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29.0,14.0,17.0,7.0,nc,102.0,110.0,116.0,103.0,99.0,104.0,111.0,112.0,109.0,109.0,120.0,132.0,5.0,5.0,7.0,5.0,7.0,10.0,10.0,,,,7.0,,31.0,36.0,38.0,35.0,28.0,28.0,32.0,29.0,28.0,28.0,26.0,28.0,55.0,62.0,61.0,58.0,59.0,58.0,64.0,66.0,63.0,64.0,64.0,64.0
Argentières (77390),https://www.journaldunet.com/management/ville/argentieres/ville-77007/sante-social,40.0,nc,nc,nc,,,,,,,31.0,5.0,nc,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,7.0,6.0,5.0,nc,48.0,49.0,48.0,45.0,45.0,45.0,42.0,42.0,40.0,39.0,40.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,40.0,41.0,40.0,34.0,35.0,34.0,29.0,25.0,27.0,31.0,31.0,31.0
Augers-en-Brie (77560),https://www.journaldunet.com/management/ville/augers-en-brie/ville-77012/sante-social,36.0,5.0,nc,nc,7.0,nc,nc,nc,5.0,6.0,20.0,5.0,nc,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,7.0,10.0,6.0,nc,41.0,44.0,41.0,39.0,37.0,39.0,39.0,42.0,42.0,43.0,41.0,36.0,,,,,,,,,,,,,9.0,13.0,10.0,11.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,,29.0,29.0,23.0,25.0,24.0,25.0,24.0,27.0,28.0,25.0,25.0,20.0
Barcy (77910),https://www.journaldunet.com/management/ville/barcy/ville-77023/sante-social,49.0,5.0,nc,nc,12.0,nc,7.0,nc,6.0,5.0,27.0,7.0,nc,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,5.0,5.0,6.0,nc,25.0,24.0,42.0,35.0,34.0,37.0,40.0,42.0,47.0,47.0,45.0,49.0,,,,,,,,,,,,,,,6.0,7.0,6.0,7.0,11.0,10.0,11.0,11.0,12.0,12.0,18.0,,27.0,29.0,29.0,,,33.0,33.0,28.0,28.0,27.0
Beautheil-Saints (77120),https://www.journaldunet.com/management/ville/beautheil-saints/ville-77433/sante-social,301.0,33.0,nc,nc,24.0,5.0,14.0,7.0,17.0,7.0,170.0,29.0,15.0,72.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,56.0,43.0,6.0,nc,152.0,157.0,166.0,171.0,172.0,182.0,186.0,200.0,215.0,278.0,284.0,301.0,22.0,25.0,24.0,22.0,24.0,26.0,35.0,25.0,33.0,37.0,34.0,33.0,24.0,22.0,24.0,24.0,25.0,27.0,28.0,27.0,28.0,28.0,29.0,24.0,100.0,106.0,117.0,118.0,115.0,118.0,117.0,122.0,125.0,166.0,166.0,170.0
Bailly-Romainvilliers (77700),https://www.journaldunet.com/management/ville/bailly-romainvilliers/ville-77018/sante-social,1604.0,78.0,9.0,69.0,480.0,348.0,75.0,57.0,450.0,30.0,763.0,101.0,60.0,254.0,5.0,11.0,4.0,5.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,165.0,132.0,48.0,23.0,6.0,1233.0,1200.0,1252.0,1365.0,1448.0,1422.0,1404.0,1490.0,1487.0,1499.0,1464.0,1604.0,51.0,71.0,72.0,83.0,99.0,107.0,130.0,73.0,74.0,79.0,84.0,78.0,444.0,420.0,408.0,495.0,564.0,538.0,535.0,509.0,489.0,500.0,496.0,480.0,790.0,769.0,827.0,851.0,852.0,831.0,840.0,833.0,814.0,777.0,777.0,763.0
Bezalles (77970),https://www.journaldunet.com/management/ville/bezalles/ville-77033/sante-social,35.0,5.0,nc,nc,7.0,nc,6.0,nc,5.0,6.0,21.0,5.0,nc,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,nc,nc,36.0,35.0,31.0,37.0,35.0,33.0,33.0,38.0,36.0,36.0,31.0,35.0,,,,,,,,,,,,,11.0,9.0,9.0,12.0,11.0,8.0,9.0,7.0,,,,,25.0,24.0,22.0,20.0,23.0,23.0,22.0,22.0,21.0,18.0,18.0,21.0
Boissettes (77350),https://www.journaldunet.com/management/ville/boissettes/ville-77038/sante-social,39.0,nc,nc,nc,8.0,nc,nc,nc,nc,nc,17.0,nc,nc,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,nc,nc,nc,nc,30.0,31.0,31.0,35.0,32.0,28.0,27.0,27.0,27.0,27.0,32.0,39.0,,,,,,,,,,,,,,6.0,6.0,8.0,6.0,7.0,,,,,,8.0,24.0,21.0,21.0,22.0,21.0,19.0,20.0,17.0,13.0,17.0,17.0,17.0
Boitron (77750),https://www.journaldunet.com/management/ville/boitron/ville-77043/sante-social,47.0,7.0,nc,nc,,,,,,,25.0,7.0,nc,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,nc,6.0,5.0,nc,49.0,51.0,56.0,53.0,49.0,53.0,49.0,48.0,46.0,46.0,48.0,47.0,,,6.0,6.0,7.0,8.0,10.0,7.0,5.0,5.0,6.0,7.0,,,,,,,,,,,,,35.0,40.0,38.0,36.0,35.0,38.0,35.0,26.0,27.0,26.0,26.0,25.0
Brie-Comte-Robert (77170),https://www.journaldunet.com/management/ville/brie-comte-robert/ville-77053/sante-social,3488.0,332.0,59.0,273.0,1275.0,690.0,287.0,298.0,1226.0,49.0,1522.0,238.0,220.0,809.0,25.0,14.0,7.0,17.0,1.0,1.0,0.0,1.0,0.0,1.0,5.0,0.0,5.0,1.0,1.0,0.0,2.0,1.0,0.0,3.0,703.0,601.0,269.0,39.0,13.0,2331.0,2443.0,2442.0,2459.0,2501.0,2626.0,2617.0,2841.0,2994.0,3027.0,3157.0,3488.0,232.0,259.0,281.0,302.0,338.0,380.0,393.0,292.0,321.0,331.0,332.0,332.0,938.0,942.0,966.0,960.0,995.0,1063.0,1074.0,1109.0,1159.0,1181.0,1244.0,1275.0,1211.0,1240.0,1239.0,1264.0,1296.0,1369.0,1383.0,1406.0,1455.0,1484.0,1484.0,1522.0
Bussy-Saint-Martin (77600),https://www.journaldunet.com/management/ville/bussy-saint-martin/ville-77059/sante-social,87.0,8.0,nc,nc,6.0,nc,nc,nc,nc,nc,53.0,5.0,nc,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,10.0,5.0,7.0,nc,77.0,72.0,83.0,73.0,63.0,68.0,66.0,72.0,80.0,82.0,87.0,87.0,6.0,,7.0,9.0,7.0,7.0,8.0,6.0,8.0,8.0,11.0,8.0,7.0,8.0,12.0,9.0,7.0,7.0,7.0,,,,,6.0,52.0,57.0,62.0,56.0,50.0,48.0,46.0,51.0,50.0,50.0,50.0,53.0
Bourron-Marlotte (77780),https://www.journaldunet.com/management/ville/bourron-marlotte/ville-77048/sante-social,392.0,46.0,6.0,38.0,106.0,35.0,35.0,36.0,99.0,7.0,194.0,15.0,17.0,78.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,54.0,31.0,30.0,5.0,nc,325.0,320.0,330.0,315.0,333.0,345.0,332.0,323.0,337.0,345.0,374.0,392.0,36.0,37.0,44.0,36.0,42.0,54.0,50.0,31.0,30.0,30.0,36.0,46.0,93.0,85.0,94.0,89.0,97.0,102.0,97.0,88.0,96.0,98.0,105.0,106.0,210.0,211.0,212.0,206.0,210.0,219.0,198.0,182.0,183.0,198.0,198.0,194.0
Cerneux (77320),https://www.journaldunet.com/management/ville/cerneux/ville-77066/sante-social,44.0,5.0,nc,nc,12.0,nc,5.0,5.0,10.0,5.0,23.0,7.0,5.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,nc,5.0,5.0,nc,38.0,44.0,41.0,35.0,44.0,43.0,48.0,47.0,44.0,44.0,34.0,44.0,,,,,,,,,,,,,13.0,15.0,12.0,9.0,11.0,13.0,13.0,15.0,12.0,12.0,7.0,12.0,20.0,23.0,23.0,22.0,29.0,26.0,25.0,21.0,22.0,19.0,19.0,23.0
Chaintreaux (77460),https://www.journaldunet.com/management/ville/chaintreaux/ville-77071/sante-social,103.0,6.0,nc,nc,16.0,5.0,11.0,5.0,7.0,9.0,59.0,10.0,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,19.0,8.0,6.0,nc,104.0,108.0,112.0,109.0,112.0,107.0,102.0,108.0,102.0,103.0,105.0,103.0,9.0,11.0,12.0,13.0,14.0,12.0,14.0,9.0,5.0,5.0,7.0,6.0,17.0,20.0,15.0,21.0,25.0,20.0,21.0,20.0,16.0,15.0,18.0,16.0,70.0,73.0,72.0,76.0,77.0,72.0,68.0,69.0,64.0,67.0,67.0,59.0
Chambry (77910),https://www.journaldunet.com/management/ville/chambry/ville-77077/sante-social,149.0,9.0,nc,nc,16.0,nc,10.0,nc,8.0,7.0,85.0,10.0,7.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,25.0,13.0,9.0,nc,107.0,111.0,108.0,107.0,125.0,118.0,125.0,133.0,136.0,132.0,140.0,149.0,,7.0,6.0,7.0,10.0,6.0,14.0,7.0,,,9.0,9.0,15.0,15.0,15.0,11.0,15.0,11.0,17.0,18.0,21.0,19.0,17.0,16.0,68.0,75.0,67.0,73.0,82.0,86.0,88.0,88.0,89.0,88.0,88.0,85.0
Meaux (77100),https://www.journaldunet.com/management/ville/meaux/ville-77284//sante-social,14013.0,2394.0,412.0,1982.0,6996.0,4978.0,996.0,1022.0,6699.0,297.0,4955.0,1327.0,1124.0,3901.0,62.0,56.0,33.0,42.0,3.0,9.0,1.0,7.0,5.0,5.0,16.0,1.0,7.0,1.0,2.0,1.0,12.0,4.0,2.0,4.0,2300.0,2177.0,378.0,146.0,58.0,10937.0,11121.0,11350.0,11565.0,11823.0,11770.0,11773.0,12534.0,12764.0,12958.0,13165.0,14013.0,2556.0,2679.0,2851.0,2978.0,3200.0,3267.0,3386.0,2482.0,2427.0,2451.0,2416.0,2394.0,6609.0,6702.0,6798.0,6825.0,6923.0,6770.0,6740.0,6814.0,7005.0,7137.0,7102.0,6996.0,4249.0,4351.0,4470.0,4574.0,4681.0,4667.0,4781.0,4855.0,4847.0,4952.0,4952.0,4955.0
Champeaux (77720),https://www.journaldunet.com/management/ville/champeaux/ville-77082/sante-social,116.0,6.0,nc,nc,14.0,6.0,nc,nc,8.0,6.0,62.0,10.0,5.0,26.0,2.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,12.0,6.0,nc,87.0,87.0,94.0,96.0,97.0,92.0,103.0,108.0,103.0,104.0,105.0,116.0,6.0,6.0,10.0,11.0,11.0,8.0,12.0,5.0,,,8.0,6.0,11.0,15.0,17.0,19.0,15.0,16.0,14.0,15.0,12.0,12.0,14.0,14.0,56.0,64.0,69.0,71.0,70.0,71.0,73.0,71.0,66.0,61.0,61.0,62.0
Charny (77410),https://www.journaldunet.com/management/ville/charny/ville-77095/sante-social,193.0,6.0,nc,nc,12.0,nc,6.0,nc,14.0,5.0,123.0,9.0,6.0,31.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,30.0,22.0,12.0,nc,143.0,147.0,135.0,147.0,159.0,158.0,164.0,176.0,176.0,174.0,176.0,193.0,8.0,10.0,12.0,11.0,13.0,14.0,6.0,5.0,5.0,6.0,,,23.0,23.0,20.0,16.0,19.0,21.0,21.0,21.0,16.0,16.0,16.0,12.0,94.0,92.0,86.0,96.0,105.0,112.0,122.0,123.0,129.0,130.0,130.0,123.0
Collégien (77090),https://www.journaldunet.com/management/ville/collegien/ville-77121/sante-social,547.0,37.0,9.0,28.0,158.0,102.0,25.0,31.0,147.0,11.0,310.0,55.0,32.0,156.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,61.0,47.0,20.0,6.0,6.0,422.0,437.0,459.0,492.0,515.0,508.0,506.0,536.0,526.0,535.0,532.0,547.0,37.0,47.0,44.0,53.0,70.0,70.0,74.0,45.0,32.0,34.0,39.0,37.0,120.0,128.0,132.0,150.0,154.0,146.0,145.0,144.0,150.0,153.0,149.0,158.0,267.0,275.0,288.0,303.0,319.0,329.0,326.0,318.0,315.0,322.0,322.0,310.0
Chauffry (77169),https://www.journaldunet.com/management/ville/chauffry/ville-77106/sante-social,144.0,10.0,nc,nc,21.0,9.0,14.0,7.0,9.0,12.0,85.0,12.0,6.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,19.0,14.0,5.0,nc,116.0,121.0,123.0,121.0,130.0,134.0,129.0,147.0,136.0,140.0,132.0,144.0,5.0,6.0,9.0,8.0,9.0,13.0,13.0,10.0,10.0,11.0,9.0,10.0,21.0,18.0,16.0,24.0,24.0,25.0,14.0,21.0,22.0,21.0,18.0,21.0,84.0,89.0,88.0,90.0,94.0,96.0,95.0,88.0,91.0,88.0,88.0,85.0
Coutevroult (77580),https://www.journaldunet.com/management/ville/coutevroult/ville-77141/sante-social,196.0,17.0,nc,nc,23.0,8.0,13.0,8.0,11.0,5.0,126.0,14.0,8.0,29.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,37.0,20.0,6.0,nc,134.0,137.0,139.0,145.0,151.0,147.0,145.0,162.0,179.0,180.0,174.0,196.0,,7.0,8.0,13.0,9.0,9.0,10.0,12.0,8.0,9.0,8.0,17.0,20.0,19.0,21.0,19.0,17.0,16.0,16.0,17.0,20.0,20.0,19.0,23.0,93.0,101.0,102.0,106.0,110.0,111.0,106.0,108.0,123.0,120.0,120.0,126.0
Chessy (77700),https://www.journaldunet.com/management/ville/chessy/ville-77111/sante-social,1314.0,95.0,11.0,84.0,411.0,269.0,76.0,66.0,406.0,5.0,642.0,87.0,73.0,276.0,4.0,7.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,247.0,196.0,84.0,10.0,5.0,665.0,699.0,734.0,750.0,745.0,838.0,886.0,971.0,1022.0,1038.0,1070.0,1314.0,54.0,58.0,62.0,68.0,63.0,90.0,98.0,74.0,65.0,67.0,77.0,95.0,285.0,304.0,296.0,281.0,279.0,306.0,328.0,293.0,317.0,325.0,348.0,411.0,361.0,402.0,414.0,426.0,421.0,480.0,507.0,530.0,556.0,594.0,594.0,642.0
Dammartin-en-Goële (77230),https://www.journaldunet.com/management/ville/dammartin-en-goele/ville-77153/sante-social,1882.0,148.0,28.0,120.0,444.0,217.0,116.0,111.0,384.0,60.0,1091.0,210.0,90.0,431.0,5.0,5.0,11.0,4.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,374.0,307.0,146.0,34.0,12.0,1121.0,1131.0,1137.0,1219.0,1290.0,1348.0,1384.0,1576.0,1623.0,1640.0,1638.0,1882.0,101.0,109.0,115.0,121.0,140.0,159.0,176.0,128.0,136.0,137.0,138.0,148.0,337.0,336.0,339.0,358.0,368.0,429.0,423.0,437.0,467.0,473.0,453.0,444.0,664.0,682.0,683.0,726.0,784.0,821.0,878.0,921.0,981.0,1013.0,1013.0,1091.0
Diant (77940),https://www.journaldunet.com/management/ville/diant/ville-77158/sante-social,27.0,5.0,nc,nc,,,,,,,13.0,nc,nc,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,nc,nc,nc,nc,18.0,14.0,14.0,19.0,17.0,15.0,17.0,25.0,25.0,25.0,22.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,11.0,6.0,6.0,8.0,6.0,8.0,10.0,11.0,10.0,10.0,10.0,13.0
Armentières-en-Brie (77440),https://www.journaldunet.com/management/ville/armentieres-en-brie/ville-77008/sante-social,198.0,28.0,5.0,30.0,69.0,63.0,6.0,7.0,70.0,5.0,137.0,37.0,5.0,66.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,45.0,18.0,11.0,nc,199.0,195.0,191.0,182.0,182.0,191.0,199.0,202.0,192.0,194.0,196.0,198.0,34.0,40.0,39.0,41.0,45.0,46.0,45.0,33.0,29.0,32.0,31.0,28.0,78.0,79.0,71.0,65.0,62.0,65.0,69.0,68.0,72.0,75.0,72.0,69.0,148.0,154.0,141.0,136.0,136.0,136.0,138.0,142.0,129.0,136.0,136.0,137.0
Coulommiers (77120),https://www.journaldunet.com/management/ville/coulommiers/ville-77131/sante-social,3621.0,483.0,67.0,416.0,1808.0,1149.0,241.0,418.0,1757.0,51.0,1146.0,282.0,251.0,916.0,17.0,8.0,14.0,14.0,1.0,3.0,0.0,0.0,2.0,1.0,6.0,1.0,3.0,1.0,1.0,0.0,0.0,2.0,2.0,7.0,503.0,469.0,135.0,31.0,18.0,2884.0,2902.0,2958.0,3016.0,3054.0,3131.0,3087.0,3313.0,3334.0,3368.0,3402.0,3621.0,459.0,497.0,538.0,578.0,629.0,668.0,706.0,509.0,469.0,481.0,470.0,483.0,1732.0,1689.0,1691.0,1743.0,1778.0,1824.0,1830.0,1825.0,1872.0,1900.0,1842.0,1808.0,1070.0,1076.0,1091.0,1095.0,1098.0,1140.0,1154.0,1137.0,1158.0,1162.0,1162.0,1146.0
Aulnoy (77120),https://www.journaldunet.com/management/ville/aulnoy/ville-77013/sante-social,46.0,nc,nc,nc,6.0,nc,nc,nc,nc,nc,21.0,nc,nc,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,nc,9.0,nc,nc,30.0,28.0,27.0,26.0,26.0,31.0,32.0,33.0,40.0,40.0,37.0,46.0,,,,,,,,,,,,,6.0,5.0,6.0,,,,5.0,7.0,9.0,9.0,7.0,6.0,24.0,20.0,17.0,16.0,18.0,20.0,21.0,22.0,22.0,21.0,21.0,21.0
Choisy-en-Brie (77320),https://www.journaldunet.com/management/ville/choisy-en-brie/ville-77116/sante-social,187.0,15.0,nc,nc,28.0,6.0,17.0,5.0,18.0,8.0,105.0,16.0,5.0,43.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,31.0,26.0,6.0,nc,165.0,158.0,170.0,173.0,166.0,164.0,172.0,176.0,167.0,168.0,170.0,187.0,9.0,15.0,9.0,15.0,10.0,15.0,12.0,15.0,12.0,12.0,13.0,15.0,35.0,29.0,29.0,31.0,31.0,25.0,28.0,24.0,24.0,26.0,31.0,28.0,120.0,115.0,114.0,115.0,111.0,110.0,118.0,114.0,113.0,108.0,108.0,105.0
Châtenay-sur-Seine (77126),https://www.journaldunet.com/management/ville/chatenay-sur-seine/ville-77101/sante-social,149.0,10.0,nc,nc,22.0,5.0,12.0,8.0,11.0,11.0,93.0,17.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,29.0,22.0,8.0,nc,102.0,109.0,108.0,116.0,119.0,129.0,132.0,139.0,138.0,142.0,138.0,149.0,6.0,11.0,9.0,11.0,10.0,15.0,19.0,11.0,10.0,13.0,8.0,10.0,19.0,21.0,23.0,21.0,25.0,24.0,23.0,31.0,22.0,23.0,21.0,22.0,71.0,71.0,66.0,71.0,76.0,78.0,77.0,74.0,82.0,88.0,88.0,93.0
Amponville (77760),https://www.journaldunet.com/management/ville/amponville/ville-77003/sante-social,45.0,5.0,nc,nc,8.0,nc,nc,nc,nc,nc,25.0,5.0,nc,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,5.0,7.0,5.0,nc,48.0,45.0,37.0,37.0,37.0,37.0,32.0,43.0,45.0,45.0,42.0,45.0,,,,,,,,,,,,,7.0,8.0,7.0,8.0,8.0,8.0,8.0,7.0,9.0,9.0,9.0,8.0,35.0,33.0,25.0,25.0,24.0,23.0,19.0,24.0,27.0,23.0,23.0,25.0
Courquetaine (77390),https://www.journaldunet.com/management/ville/courquetaine/ville-77136/sante-social,24.0,nc,nc,nc,6.0,nc,nc,nc,nc,nc,14.0,nc,nc,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,nc,nc,nc,nc,26.0,23.0,24.0,28.0,25.0,22.0,24.0,21.0,26.0,26.0,24.0,24.0,,,,,,,,,,,,,,5.0,,,,,,,6.0,6.0,6.0,,20.0,18.0,19.0,20.0,19.0,,16.0,16.0,18.0,15.0,15.0,14.0
Croissy-Beaubourg (77183),https://www.journaldunet.com/management/ville/croissy-beaubourg/ville-77146/sante-social,265.0,19.0,nc,nc,40.0,23.0,9.0,8.0,37.0,6.0,168.0,28.0,11.0,53.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,48.0,37.0,12.0,8.0,nc,204.0,208.0,219.0,217.0,206.0,211.0,221.0,255.0,247.0,250.0,239.0,265.0,13.0,19.0,23.0,24.0,24.0,23.0,27.0,18.0,17.0,18.0,26.0,19.0,25.0,28.0,31.0,37.0,41.0,44.0,44.0,49.0,47.0,48.0,43.0,40.0,146.0,145.0,155.0,152.0,148.0,155.0,165.0,171.0,170.0,168.0,168.0,168.0
Congis-sur-Thérouanne (77440),https://www.journaldunet.com/management/ville/congis-sur-therouanne/ville-77126/sante-social,267.0,21.0,5.0,17.0,36.0,6.0,15.0,15.0,29.0,7.0,147.0,29.0,11.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,41.0,28.0,5.0,nc,204.0,212.0,204.0,215.0,230.0,227.0,226.0,242.0,237.0,239.0,238.0,267.0,20.0,25.0,20.0,26.0,25.0,34.0,33.0,18.0,20.0,22.0,27.0,21.0,36.0,39.0,34.0,36.0,46.0,45.0,40.0,36.0,38.0,39.0,35.0,36.0,144.0,149.0,143.0,150.0,155.0,151.0,162.0,163.0,155.0,149.0,149.0,147.0
