Ville,Lien,Allocataires CAF,Bénéficiaires du RSA, - bénéficiaires du RSA majoré, - bénéficiaires du RSA socle,Bénéficiaires de l'aide au logement, - bénéficiaires de l'APL (aide personnalisée au logement), - bénéficiaires de l'ALF (allocation de logement à caractère familial), - bénéficiaires de l'ALS (allocation de logement à caractère social), - bénéficiaires de l'Allocation pour une location immobilière, - bénéficiaires de l'Allocation pour un achat immobilier,Bénéficiaires des allocations familiales, - bénéficiaires du complément familial, - bénéficiaires de l'allocation de soutien familial, - bénéficiaires de l'allocation de rentrée scolaire,Médecins généralistes,Masseurs-kinésithérapeutes,Dentistes,Infirmiers,Spécialistes ORL,Ophtalmologistes,Dermatologues,Sage-femmes,Pédiatres,Gynécologues,Pharmacies,Urgences,Ambulances,Etablissements de santé de court séjour,Etablissements de santé de moyen séjour,Etablissements de santé de long séjour,Etablissement d'accueil du jeune enfant,Maisons de retraite,Etablissements pour enfants handicapés,Etablissements pour adultes handicapés,Bénéficiaires de la PAJE, - bénéficiaires de l'allocation de base, - bénéficiaires du complément mode de garde pour une assistante maternelle, - bénéficiaires du complément de libre choix d'activité (CLCA ou COLCA), - bénéficiaires de la prime naissance ou adoption,nbre allocataires (2009),nbre allocataires (2010),nbre allocataires (2011),nbre allocataires (2012),nbre allocataires (2013),nbre allocataires (2014),nbre allocataires (2015),nbre allocataires (2016),nbre allocataires (2017),nbre allocataires (2018),nbre allocataires (2019),nbre allocataires (2020),nbre RSA (2009),nbre RSA (2010),nbre RSA (2011),nbre RSA (2012),nbre RSA (2013),nbre RSA (2014),nbre RSA (2015),nbre RSA (2016),nbre RSA (2017),nbre RSA (2018),nbre RSA (2019),nbre RSA (2020),nbre APL (2009),nbre APL (2010),nbre APL (2011),nbre APL (2012),nbre APL (2013),nbre APL (2014),nbre APL (2015),nbre APL (2016),nbre APL (2017),nbre APL (2018),nbre APL (2019),nbre APL (2020),nbre Alloc Familiales (2009),nbre Alloc Familiales (2010),nbre Alloc Familiales (2011),nbre Alloc Familiales (2012),nbre Alloc Familiales (2013),nbre Alloc Familiales (2014),nbre Alloc Familiales (2015),nbre Alloc Familiales (2016),nbre Alloc Familiales (2017),nbre Alloc Familiales (2018),nbre Alloc Familiales (2019),nbre Alloc Familiales (2020)
Fontainebleau (77300),https://www.journaldunet.com/management/ville/fontainebleau/ville-77186/sante-social,2927.0,329.0,32.0,297.0,1549.0,751.0,155.0,643.0,1535.0,14.0,933.0,128.0,162.0,526.0,37.0,36.0,25.0,22.0,1.0,8.0,2.0,3.0,4.0,6.0,8.0,1.0,1.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,315.0,232.0,80.0,20.0,6.0,2505.0,2500.0,2542.0,2544.0,2567.0,2569.0,2544.0,2656.0,2729.0,2769.0,2701.0,2927.0,295.0,309.0,349.0,370.0,382.0,417.0,426.0,316.0,329.0,330.0,300.0,329.0,1460.0,1421.0,1467.0,1446.0,1480.0,1492.0,1494.0,1499.0,1556.0,1588.0,1553.0,1549.0,968.0,972.0,946.0,940.0,946.0,925.0,907.0,916.0,959.0,946.0,946.0,933.0
Mitry-Mory (77290),https://www.journaldunet.com/management/ville/mitry-mory/ville-77294/sante-social,3899.0,458.0,63.0,395.0,1358.0,932.0,275.0,151.0,1224.0,134.0,2010.0,511.0,248.0,1202.0,6.0,6.0,6.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,767.0,689.0,195.0,68.0,24.0,2791.0,2861.0,2900.0,2947.0,3053.0,3129.0,3186.0,3419.0,3481.0,3531.0,3598.0,3899.0,309.0,352.0,389.0,426.0,494.0,509.0,525.0,375.0,386.0,392.0,414.0,458.0,1149.0,1184.0,1196.0,1183.0,1264.0,1287.0,1325.0,1284.0,1352.0,1397.0,1404.0,1358.0,1640.0,1658.0,1701.0,1719.0,1767.0,1823.0,1882.0,1920.0,1935.0,2003.0,2003.0,2010.0
La Celle-sur-Morin (77515),https://www.journaldunet.com/management/ville/la-celle-sur-morin/ville-77063/sante-social,169.0,12.0,5.0,7.0,13.0,nc,8.0,nc,6.0,7.0,102.0,12.0,5.0,38.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,32.0,22.0,6.0,nc,169.0,162.0,166.0,174.0,157.0,166.0,167.0,173.0,165.0,165.0,165.0,169.0,10.0,8.0,12.0,17.0,12.0,16.0,16.0,12.0,9.0,9.0,8.0,12.0,27.0,19.0,24.0,24.0,18.0,21.0,16.0,15.0,11.0,12.0,13.0,13.0,117.0,120.0,128.0,125.0,118.0,117.0,119.0,117.0,108.0,110.0,110.0,102.0
May-en-Multien (77145),https://www.journaldunet.com/management/ville/may-en-multien/ville-77283/sante-social,142.0,8.0,nc,nc,20.0,6.0,12.0,10.0,14.0,6.0,83.0,15.0,6.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,45.0,12.0,5.0,nc,127.0,128.0,121.0,131.0,136.0,132.0,122.0,132.0,129.0,130.0,128.0,142.0,7.0,10.0,11.0,9.0,9.0,10.0,12.0,9.0,7.0,7.0,,8.0,29.0,22.0,22.0,29.0,31.0,23.0,22.0,18.0,15.0,16.0,16.0,20.0,80.0,87.0,87.0,92.0,97.0,99.0,94.0,92.0,89.0,83.0,83.0,83.0
La Genevraye (77690),https://www.journaldunet.com/management/ville/la-genevraye/ville-77202/sante-social,125.0,10.0,nc,nc,17.0,nc,8.0,nc,15.0,5.0,73.0,11.0,nc,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,18.0,20.0,7.0,nc,76.0,71.0,71.0,72.0,79.0,88.0,94.0,106.0,105.0,105.0,119.0,125.0,7.0,9.0,8.0,9.0,8.0,9.0,9.0,7.0,8.0,8.0,11.0,10.0,17.0,15.0,14.0,12.0,7.0,10.0,12.0,14.0,13.0,13.0,20.0,17.0,50.0,41.0,39.0,40.0,46.0,53.0,60.0,62.0,67.0,67.0,67.0,73.0
Les Ormes-sur-Voulzie (77134),https://www.journaldunet.com/management/ville/les-ormes-sur-voulzie/ville-77347/sante-social,122.0,9.0,nc,nc,36.0,5.0,9.0,19.0,29.0,7.0,61.0,9.0,nc,40.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,20.0,14.0,5.0,nc,125.0,131.0,129.0,125.0,122.0,128.0,119.0,112.0,115.0,116.0,115.0,122.0,7.0,9.0,10.0,11.0,13.0,12.0,10.0,7.0,10.0,10.0,10.0,9.0,54.0,48.0,52.0,45.0,45.0,46.0,42.0,44.0,37.0,38.0,36.0,36.0,59.0,64.0,64.0,58.0,58.0,57.0,56.0,51.0,51.0,57.0,57.0,61.0
La Chapelle-Rablais (77370),https://www.journaldunet.com/management/ville/la-chapelle-rablais/ville-77089/sante-social,132.0,7.0,nc,nc,14.0,8.0,9.0,nc,7.0,7.0,80.0,14.0,nc,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,17.0,13.0,8.0,nc,134.0,140.0,139.0,134.0,142.0,133.0,127.0,131.0,125.0,125.0,122.0,132.0,11.0,12.0,9.0,8.0,11.0,11.0,7.0,,,,,,21.0,24.0,22.0,18.0,21.0,15.0,16.0,15.0,12.0,12.0,18.0,14.0,99.0,108.0,103.0,97.0,99.0,95.0,89.0,91.0,89.0,88.0,88.0,80.0
Marolles-en-Brie (77120),https://www.journaldunet.com/management/ville/marolles-en-brie/ville-77278/sante-social,52.0,5.0,nc,nc,,,,,,,31.0,6.0,nc,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,10.0,8.0,nc,nc,54.0,52.0,48.0,45.0,46.0,43.0,39.0,42.0,42.0,43.0,47.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,38.0,37.0,36.0,33.0,34.0,33.0,28.0,28.0,30.0,30.0,30.0,31.0
Ferrières-en-Brie (77164),https://www.journaldunet.com/management/ville/ferrieres-en-brie/ville-77181/sante-social,651.0,30.0,6.0,20.0,165.0,28.0,41.0,96.0,153.0,12.0,281.0,22.0,18.0,82.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,134.0,96.0,65.0,10.0,5.0,278.0,290.0,284.0,348.0,363.0,398.0,427.0,469.0,471.0,475.0,545.0,651.0,19.0,23.0,20.0,25.0,20.0,25.0,30.0,22.0,23.0,26.0,25.0,30.0,62.0,75.0,58.0,104.0,91.0,102.0,107.0,103.0,104.0,108.0,150.0,165.0,188.0,196.0,197.0,218.0,233.0,244.0,257.0,267.0,268.0,269.0,269.0,281.0
Guignes (77390),https://www.journaldunet.com/management/ville/guignes/ville-77222/sante-social,852.0,61.0,11.0,50.0,240.0,167.0,44.0,29.0,203.0,37.0,436.0,83.0,41.0,211.0,11.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,155.0,139.0,58.0,9.0,6.0,515.0,532.0,558.0,532.0,582.0,617.0,674.0,767.0,783.0,788.0,824.0,852.0,57.0,58.0,70.0,68.0,65.0,77.0,87.0,57.0,56.0,57.0,69.0,61.0,190.0,198.0,221.0,212.0,231.0,226.0,252.0,248.0,264.0,266.0,253.0,240.0,291.0,294.0,298.0,288.0,311.0,337.0,382.0,415.0,429.0,453.0,453.0,436.0
Melz-sur-Seine (77171),https://www.journaldunet.com/management/ville/melz-sur-seine/ville-77289/sante-social,50.0,8.0,nc,nc,14.0,nc,7.0,nc,9.0,5.0,27.0,5.0,nc,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,9.0,nc,nc,50.0,48.0,45.0,48.0,46.0,43.0,45.0,45.0,49.0,50.0,49.0,50.0,5.0,,,,,5.0,7.0,,8.0,8.0,8.0,,10.0,11.0,13.0,13.0,12.0,9.0,12.0,8.0,9.0,10.0,11.0,14.0,33.0,32.0,33.0,31.0,29.0,30.0,29.0,29.0,29.0,28.0,28.0,27.0
Laval-en-Brie (77148),https://www.journaldunet.com/management/ville/laval-en-brie/ville-77245/sante-social,50.0,nc,nc,nc,,,,,,,27.0,6.0,nc,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,nc,7.0,5.0,nc,59.0,52.0,50.0,48.0,51.0,42.0,42.0,46.0,46.0,48.0,40.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,40.0,39.0,36.0,34.0,36.0,31.0,35.0,31.0,31.0,29.0,29.0,27.0
Le Plessis-aux-Bois (77165),https://www.journaldunet.com/management/ville/le-plessis-aux-bois/ville-77364/sante-social,39.0,5.0,nc,nc,8.0,nc,nc,nc,5.0,5.0,24.0,5.0,nc,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,6.0,5.0,nc,36.0,36.0,34.0,41.0,43.0,41.0,39.0,38.0,42.0,40.0,42.0,39.0,,,,,,,,,,,,,7.0,10.0,9.0,8.0,9.0,8.0,6.0,6.0,7.0,7.0,8.0,,25.0,24.0,23.0,26.0,27.0,30.0,30.0,26.0,27.0,22.0,22.0,24.0
Gesvres-le-Chapitre (77165),https://www.journaldunet.com/management/ville/gesvres-le-chapitre/ville-77205/sante-social,16.0,nc,nc,nc,,,,,,,10.0,nc,nc,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,nc,nc,nc,nc,23.0,24.0,24.0,23.0,21.0,19.0,21.0,21.0,22.0,22.0,23.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,16.0,15.0,15.0,10.0
Jouy-le-Châtel (77970),https://www.journaldunet.com/management/ville/jouy-le-chatel/ville-77239/sante-social,248.0,21.0,nc,nc,47.0,13.0,21.0,13.0,37.0,10.0,134.0,24.0,9.0,61.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,51.0,37.0,6.0,nc,191.0,187.0,199.0,221.0,219.0,219.0,222.0,223.0,225.0,225.0,227.0,248.0,13.0,12.0,12.0,18.0,22.0,18.0,25.0,22.0,12.0,12.0,17.0,21.0,54.0,54.0,53.0,57.0,55.0,63.0,57.0,57.0,64.0,66.0,61.0,47.0,129.0,135.0,136.0,147.0,143.0,142.0,145.0,141.0,140.0,139.0,139.0,134.0
Montgé-en-Goële (77230),https://www.journaldunet.com/management/ville/montge-en-goele/ville-77308/sante-social,105.0,8.0,nc,nc,13.0,nc,8.0,nc,6.0,5.0,61.0,6.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,18.0,15.0,11.0,nc,78.0,81.0,81.0,90.0,91.0,86.0,87.0,97.0,94.0,96.0,89.0,105.0,7.0,,,7.0,,,5.0,7.0,10.0,10.0,9.0,8.0,12.0,13.0,13.0,10.0,11.0,13.0,17.0,11.0,9.0,9.0,13.0,13.0,56.0,60.0,58.0,63.0,65.0,62.0,61.0,61.0,62.0,60.0,60.0,61.0
