Ville,Lien,Population,Densité de population,Nombre de ménages,Habitants par ménage,Nombre de familles,Naissances,Décès,Solde naturel,Hommes,Femmes,Moins de 15 ans,15 - 29 ans,30 - 44 ans,45 - 59 ans,60 - 74 ans,75 ans et plus,Familles monoparentales,Couples sans enfant,Couples avec enfant,Familles sans enfant,Familles avec un enfant,Familles avec deux enfants,Familles avec trois enfants,Familles avec quatre enfants ou plus,Personnes célibataires,Personnes mariées,Personnes divorcées,Personnes veuves,Personnes en concubinage,Personnes pacsées,Population étrangère,Hommes étrangers,Femmes étrangères,Moins de 15 ans étrangers,15-24 ans étrangers,25-54 ans étrangers,55 ans et plus étrangers,Population immigrée,Hommes immigrés,Femmes immigrées,Moins de 15 ans immigrés,15-24 ans immigrés,25-54 ans immigrés,55 ans et plus immigrés,nbre habitants (2006),nbre habitants (2007),nbre habitants (2008),nbre habitants (2009),nbre habitants (2010),nbre habitants (2011),nbre habitants (2012),nbre habitants (2013),nbre habitants (2014),nbre habitants (2015),nbre habitants (2016),nbre habitants (2017),nbre habitants (2018),nbre naissances (1999),nbre naissances (2000),nbre naissances (2001),nbre naissances (2002),nbre naissances (2003),nbre naissances (2004),nbre naissances (2005),nbre naissances (2006),nbre naissances (2007),nbre naissances (2008),nbre naissances (2009),nbre naissances (2010),nbre naissances (2011),nbre naissances (2012),nbre naissances (2013),nbre naissances (2014),nbre naissances (2015),nbre naissances (2016),nbre naissances (2017),nbre naissances (2018),nbre naissances (2019),nbre deces (1999),nbre deces (2000),nbre deces (2001),nbre deces (2002),nbre deces (2003),nbre deces (2004),nbre deces (2005),nbre deces (2006),nbre deces (2007),nbre deces (2008),nbre deces (2009),nbre deces (2010),nbre deces (2011),nbre deces (2012),nbre deces (2013),nbre deces (2014),nbre deces (2015),nbre deces (2016),nbre deces (2017),nbre deces (2018),nbre deces (2019),nbre étrangers (2006),nbre étrangers (2007),nbre étrangers (2008),nbre étrangers (2009),nbre étrangers (2010),nbre étrangers (2011),nbre étrangers (2012),nbre étrangers (2013),nbre étrangers (2014),nbre étrangers (2015),nbre étrangers (2016),nbre étrangers (2017),nbre étrangers (2018),nbre immigrés (2006),nbre immigrés (2007),nbre immigrés (2008),nbre immigrés (2009),nbre immigrés (2010),nbre immigrés (2011),nbre immigrés (2012),nbre immigrés (2013),nbre immigrés (2014),nbre immigrés (2015),nbre immigrés (2016),nbre immigrés (2017),nbre immigrés (2018)
Courtry (77181),https://www.journaldunet.com/management/ville/courtry/ville-77139/demographie,6658.0,1600.0,2336.0,2.9,1918.0,97.0,24.0,73.0,3248.0,3410.0,1428.0,1167.0,1285.0,1447.0,991.0,317.0,227.0,648.0,1043.0,777.0,448.0,470.0,188.0,35.0,1307.0,2717.0,230.0,204.0,567.0,205.0,413.0,206.0,207.0,55.0,17.0,206.0,135.0,688.0,336.0,352.0,18.0,29.0,390.0,251.0,5983.0,5989.0,6026.0,6043.0,6156.0,6280.0,6403.0,6426.0,6664.0,6668.0,6580.0,6492.0,6658.0,53.0,72.0,82.0,66.0,55.0,59.0,67.0,61.0,60.0,72.0,74.0,59.0,83.0,63.0,71.0,81.0,86.0,77.0,73.0,82.0,97.0,15.0,20.0,19.0,20.0,30.0,25.0,21.0,20.0,20.0,15.0,18.0,24.0,15.0,32.0,26.0,27.0,25.0,28.0,33.0,33.0,24.0,294.0,294.0,294.0,296.0,319.0,326.0,332.0,332.0,346.0,415.0,407.0,403.0,413.0,482.0,482.0,484.0,483.0,552.0,563.0,574.0,576.0,597.0,689.0,682.0,672.0,688.0
Clos-Fontaine (77370),https://www.journaldunet.com/management/ville/clos-fontaine/ville-77119/demographie,255.0,43.0,103.0,2.5,77.0,2.0,0.0,2.0,124.0,131.0,46.0,25.0,56.0,68.0,49.0,10.0,5.0,31.0,41.0,51.0,5.0,10.0,10.0,0.0,36.0,119.0,5.0,12.0,32.0,4.0,8.0,3.0,5.0,0.0,0.0,4.0,4.0,13.0,6.0,7.0,0.0,0.0,6.0,7.0,248.0,250.0,253.0,255.0,257.0,265.0,268.0,270.0,273.0,272.0,270.0,263.0,255.0,2.0,3.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,3.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,3.0,0.0,7.0,9.0,9.0,9.0,9.0,9.0,6.0,6.0,6.0,6.0,6.0,8.0,8.0,16.0,18.0,18.0,18.0,18.0,18.0,14.0,14.0,14.0,14.0,14.0,13.0,13.0
Darvault (77140),https://www.journaldunet.com/management/ville/darvault/ville-77156/demographie,890.0,114.0,370.0,2.4,275.0,8.0,7.0,1.0,445.0,445.0,158.0,130.0,151.0,182.0,180.0,84.0,10.0,140.0,125.0,165.0,45.0,45.0,15.0,5.0,149.0,388.0,39.0,42.0,79.0,35.0,44.0,24.0,20.0,1.0,1.0,25.0,17.0,94.0,47.0,47.0,1.0,3.0,48.0,42.0,783.0,784.0,785.0,805.0,805.0,818.0,827.0,836.0,847.0,844.0,859.0,875.0,890.0,5.0,8.0,6.0,5.0,4.0,6.0,4.0,8.0,8.0,9.0,5.0,9.0,6.0,3.0,8.0,8.0,10.0,7.0,7.0,11.0,8.0,6.0,7.0,6.0,3.0,3.0,4.0,5.0,9.0,7.0,9.0,3.0,9.0,7.0,6.0,9.0,14.0,8.0,11.0,8.0,6.0,7.0,39.0,39.0,39.0,39.0,39.0,51.0,56.0,56.0,56.0,56.0,44.0,44.0,44.0,57.0,57.0,57.0,57.0,57.0,80.0,83.0,83.0,83.0,83.0,90.0,94.0,94.0
Échouboulains (77830),https://www.journaldunet.com/management/ville/echouboulains/ville-77164/demographie,557.0,27.0,220.0,2.5,180.0,10.0,5.0,5.0,268.0,289.0,114.0,80.0,111.0,121.0,102.0,28.0,20.0,75.0,85.0,75.0,55.0,35.0,10.0,5.0,87.0,219.0,16.0,31.0,55.0,35.0,15.0,7.0,8.0,2.0,1.0,8.0,4.0,27.0,12.0,15.0,3.0,1.0,14.0,9.0,534.0,528.0,522.0,516.0,512.0,505.0,520.0,536.0,552.0,553.0,557.0,557.0,557.0,3.0,4.0,7.0,6.0,6.0,7.0,6.0,6.0,11.0,3.0,7.0,5.0,6.0,7.0,12.0,3.0,8.0,3.0,8.0,6.0,10.0,0.0,4.0,1.0,3.0,6.0,7.0,3.0,3.0,4.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,6.0,3.0,1.0,3.0,5.0,10.0,16.0,16.0,16.0,16.0,16.0,18.0,18.0,18.0,18.0,18.0,15.0,15.0,17.0,26.0,26.0,26.0,26.0,26.0,29.0,30.0,30.0,30.0,30.0,27.0,27.0
Fouju (77390),https://www.journaldunet.com/management/ville/fouju/ville-77195/demographie,573.0,73.0,210.0,2.7,180.0,7.0,2.0,5.0,275.0,298.0,112.0,79.0,126.0,130.0,96.0,27.0,15.0,65.0,99.0,90.0,35.0,40.0,10.0,5.0,86.0,249.0,11.0,17.0,66.0,33.0,10.0,4.0,6.0,0.0,0.0,5.0,5.0,30.0,13.0,17.0,0.0,2.0,16.0,12.0,489.0,484.0,508.0,527.0,545.0,562.0,579.0,588.0,584.0,581.0,578.0,575.0,573.0,5.0,5.0,3.0,4.0,4.0,3.0,4.0,7.0,6.0,4.0,13.0,5.0,11.0,4.0,8.0,3.0,9.0,7.0,7.0,7.0,7.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,3.0,3.0,2.0,1.0,2.0,2.0,1.0,1.0,5.0,2.0,15.0,15.0,15.0,15.0,11.0,11.0,11.0,11.0,11.0,10.0,10.0,10.0,10.0,26.0,26.0,26.0,29.0,27.0,28.0,28.0,28.0,28.0,30.0,30.0,30.0,30.0
Fontains (77370),https://www.journaldunet.com/management/ville/fontains/ville-77190/demographie,255.0,18.0,110.0,2.3,80.0,4.0,1.0,3.0,133.0,122.0,45.0,41.0,38.0,59.0,50.0,21.0,25.0,20.0,35.0,50.0,10.0,10.0,10.0,0.0,52.0,81.0,14.0,13.0,36.0,14.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,10.0,6.0,4.0,0.0,0.0,3.0,7.0,261.0,262.0,263.0,265.0,263.0,253.0,244.0,234.0,231.0,231.0,239.0,247.0,255.0,2.0,2.0,0.0,2.0,1.0,3.0,0.0,2.0,5.0,0.0,3.0,1.0,0.0,1.0,1.0,6.0,6.0,1.0,2.0,1.0,4.0,3.0,4.0,2.0,3.0,2.0,5.0,4.0,1.0,5.0,3.0,3.0,0.0,1.0,5.0,4.0,4.0,1.0,1.0,4.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,8.0,8.0,8.0,10.0,10.0,10.0
Conches-sur-Gondoire (77600),https://www.journaldunet.com/management/ville/conches-sur-gondoire/ville-77124/demographie,1756.0,1155.0,635.0,2.8,530.0,12.0,29.0,-17.0,847.0,909.0,302.0,234.0,305.0,342.0,324.0,198.0,70.0,235.0,225.0,255.0,105.0,140.0,30.0,0.0,280.0,767.0,57.0,130.0,130.0,90.0,80.0,35.0,45.0,12.0,3.0,28.0,37.0,126.0,43.0,83.0,4.0,5.0,42.0,75.0,1722.0,1722.0,1723.0,1735.0,1740.0,1735.0,1729.0,1724.0,1724.0,1727.0,1737.0,1746.0,1756.0,19.0,19.0,10.0,14.0,13.0,10.0,23.0,15.0,15.0,19.0,16.0,15.0,13.0,21.0,16.0,13.0,15.0,10.0,8.0,17.0,12.0,33.0,21.0,23.0,35.0,31.0,20.0,25.0,33.0,29.0,30.0,21.0,35.0,16.0,21.0,14.0,12.0,33.0,29.0,34.0,30.0,29.0,73.0,73.0,73.0,73.0,73.0,59.0,61.0,61.0,61.0,61.0,78.0,79.0,80.0,116.0,116.0,116.0,116.0,116.0,127.0,130.0,129.0,129.0,130.0,123.0,125.0,126.0
Coulombs-en-Valois (77840),https://www.journaldunet.com/management/ville/coulombs-en-valois/ville-77129/demographie,565.0,25.0,210.0,2.7,152.0,2.0,5.0,-3.0,280.0,285.0,99.0,96.0,111.0,131.0,85.0,40.0,20.0,46.0,86.0,56.0,39.0,38.0,18.0,0.0,105.0,238.0,15.0,25.0,70.0,12.0,15.0,7.0,8.0,1.0,0.0,11.0,3.0,23.0,12.0,11.0,2.0,1.0,14.0,6.0,586.0,583.0,584.0,597.0,611.0,625.0,626.0,632.0,614.0,595.0,577.0,571.0,565.0,7.0,8.0,8.0,6.0,11.0,8.0,5.0,8.0,7.0,5.0,5.0,8.0,3.0,9.0,8.0,3.0,10.0,9.0,7.0,2.0,2.0,8.0,7.0,7.0,3.0,2.0,4.0,3.0,1.0,3.0,13.0,4.0,3.0,5.0,0.0,2.0,4.0,2.0,1.0,6.0,3.0,5.0,6.0,6.0,6.0,11.0,11.0,11.0,11.0,11.0,16.0,15.0,15.0,15.0,15.0,14.0,14.0,14.0,21.0,21.0,21.0,21.0,21.0,24.0,23.0,23.0,23.0,23.0
Boisdon (77970),https://www.journaldunet.com/management/ville/boisdon/ville-77036/demographie,136.0,32.0,51.0,2.7,41.0,1.0,2.0,-1.0,62.0,74.0,32.0,20.0,24.0,31.0,22.0,4.0,0.0,15.0,26.0,15.0,5.0,15.0,5.0,0.0,18.0,55.0,2.0,6.0,14.0,8.0,9.0,4.0,5.0,2.0,1.0,4.0,2.0,13.0,6.0,7.0,2.0,1.0,4.0,6.0,82.0,84.0,86.0,88.0,92.0,97.0,109.0,121.0,133.0,137.0,143.0,140.0,136.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,9.0,9.0,0.0,4.0,4.0,4.0,4.0,4.0,6.0,7.0,7.0,7.0,7.0,13.0,13.0
Chevry-en-Sereine (77710),https://www.journaldunet.com/management/ville/chevry-en-sereine/ville-77115/demographie,518.0,23.0,228.0,2.3,152.0,3.0,1.0,2.0,262.0,256.0,94.0,69.0,66.0,137.0,110.0,40.0,0.0,81.0,71.0,86.0,35.0,20.0,5.0,5.0,87.0,198.0,29.0,28.0,59.0,22.0,8.0,4.0,4.0,0.0,1.0,5.0,2.0,15.0,9.0,6.0,0.0,0.0,10.0,5.0,457.0,451.0,470.0,489.0,508.0,507.0,516.0,516.0,517.0,517.0,518.0,522.0,518.0,5.0,6.0,1.0,7.0,5.0,7.0,5.0,10.0,7.0,13.0,9.0,10.0,6.0,7.0,5.0,6.0,4.0,2.0,6.0,7.0,3.0,1.0,2.0,2.0,0.0,5.0,3.0,5.0,0.0,4.0,6.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,3.0,7.0,2.0,1.0,3.0,3.0,8.0,8.0,8.0,8.0,8.0,5.0,5.0,5.0,5.0,5.0,8.0,8.0,8.0,16.0,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,12.0,15.0
