ville,lien,Région,Département,Etablissement public de coopération intercommunale (EPCI),Code postal (CP),Code Insee,Nom des habitants,Population (2018),Population : rang national (2018),Densité de population (2018),Taux de chômage (2018),Pavillon bleu,Ville d'art et d'histoire,Ville fleurie,Ville internet,Superficie (surface),Altitude min.,Altitude max.,Latitude,Longitude
Boisdon (77970),https://www.journaldunet.com/management/ville/boisdon/ville-77036,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77970,77036,nc,136 hab.,n°29 415 ,32 hab/km²,"9,0 %",non,non,Aucune fleur,Aucune arobase,"4,3 km²",143 mètre(s),164 mètre(s),"48,6756","3,22623"
Champs-sur-Marne (77420),https://www.journaldunet.com/management/ville/champs-sur-marne/ville-77083,Île-de-France,Seine-et-Marne,Communauté d'agglomération Paris - Vallée de la Marne,77420,77083,nc,25 610 hab.,n°342 ,3 484 hab/km²,"13,1 %",non,non,3 fleur(s),Aucune arobase,"7,4 km²",38 mètre(s),106 mètre(s),"48,8483","2,5961"
Chenoise-Cucharmoy (77160),https://www.journaldunet.com/management/ville/chenoise-cucharmoy/ville-77109,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77160,77109,nc,1 633 hab.,n°6 471 ,46 hab/km²,"11,8 %",non,non,Aucune fleur,Aucune arobase,"35,9 km²",119 mètre(s),169 mètre(s),"48,6221","3,19219"
Château-Landon (77570),https://www.journaldunet.com/management/ville/chateau-landon/ville-77099,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77570,77099,"Châteaulandonnais, Châteaulandonnaises",2 945 hab.,n°3 751 ,100 hab/km²,"14,2 %",non,non,Aucune fleur,Aucune arobase,"29,4 km²",66 mètre(s),116 mètre(s),"48,1484","2,69971"
Claye-Souilly (77410),https://www.journaldunet.com/management/ville/claye-souilly/ville-77118,Île-de-France,Seine-et-Marne,Communauté d'agglomération Roissy Pays de France,77410,77118,"Clayois, Clayoises",12 264 hab.,n°790 ,814 hab/km²,"9,8 %",non,non,4 fleur(s),Aucune arobase,"15,1 km²",42 mètre(s),124 mètre(s),"48,943","2,67523"
Boitron (77750),https://www.journaldunet.com/management/ville/boitron/ville-77043,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77750,77043,nc,362 hab.,n°19 837 ,70 hab/km²,"13,3 %",non,non,Aucune fleur,Aucune arobase,"5,1 km²",67 mètre(s),196 mètre(s),"48,8966","3,26188"
Saint-Germain-sous-Doue (77169),https://www.journaldunet.com/management/ville/saint-germain-sous-doue/ville-77411,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77169,77411,"Germinois, Germinoises",544 hab.,n°15 638 ,54 hab/km²,"8,4 %",non,non,Aucune fleur,Aucune arobase,"10,0 km²",106 mètre(s),161 mètre(s),"48,8511","3,13894"
Balloy (77118),https://www.journaldunet.com/management/ville/balloy/ville-77019,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77118,77019,"Balloyeux, Balloyeuses",329 hab.,n°20 823 ,25 hab/km²,"7,7 %",non,non,Aucune fleur,Aucune arobase,"13,2 km²",50 mètre(s),118 mètre(s),"48,3969","3,15136"
Dagny (77320),https://www.journaldunet.com/management/ville/dagny/ville-77151,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77320,77151,nc,285 hab.,n°22 443 ,36 hab/km²,"4,0 %",non,non,Aucune fleur,Aucune arobase,"7,9 km²",112 mètre(s),159 mètre(s),"48,7137","3,16528"
Liverdy-en-Brie (77220),https://www.journaldunet.com/management/ville/liverdy-en-brie/ville-77254,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77220,77254,"Liverdois, Liverdoises",1 300 hab.,n°7 910 ,143 hab/km²,"7,9 %",non,non,Aucune fleur,Aucune arobase,"9,1 km²",73 mètre(s),109 mètre(s),"48,6957","2,78032"
Germigny-sous-Coulombs (77840),https://www.journaldunet.com/management/ville/germigny-sous-coulombs/ville-77204,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77840,77204,"Germinois, Germinoises",210 hab.,n°25 642 ,32 hab/km²,"12,5 %",non,non,Aucune fleur,Aucune arobase,"6,5 km²",83 mètre(s),196 mètre(s),"49,0644","3,16141"
Fontenailles (77370),https://www.journaldunet.com/management/ville/fontenailles/ville-77191,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77191,"Fontenaillais, Fontenaillaises",1 058 hab.,n°9 452 ,39 hab/km²,"7,1 %",non,non,Aucune fleur,Aucune arobase,"27,4 km²",92 mètre(s),130 mètre(s),"48,5324","2,92731"
Gretz-Armainvilliers (77220),https://www.journaldunet.com/management/ville/gretz-armainvilliers/ville-77215,Île-de-France,Seine-et-Marne,Communauté de communes les Portes Briardes Entre Villes et Forêts,77220,77215,"Gretzois, Gretzoises",8 566 hab.,n°1 220 ,634 hab/km²,"10,9 %",non,non,Aucune fleur,Aucune arobase,"13,5 km²",86 mètre(s),114 mètre(s),"48,7495","2,72624"
Montceaux-lès-Provins (77151),https://www.journaldunet.com/management/ville/montceaux-les-provins/ville-77301,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77151,77301,"Montceldiens, Montceldiennes",324 hab.,n°21 017 ,21 hab/km²,"13,0 %",non,non,Aucune fleur,Aucune arobase,"15,4 km²",155 mètre(s),202 mètre(s),"48,6965","3,44446"
Bougligny (77570),https://www.journaldunet.com/management/ville/bougligny/ville-77045,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77570,77045,"Bougliniens, Bougliniennes",719 hab.,n°12 732 ,44 hab/km²,"7,9 %",non,non,Aucune fleur,Aucune arobase,"16,3 km²",98 mètre(s),121 mètre(s),"48,199","2,66712"
La Croix-en-Brie (77370),https://www.journaldunet.com/management/ville/la-croix-en-brie/ville-77147,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77147,"Crucibriards, Crucibriardes",669 hab.,n°13 449 ,23 hab/km²,"4,9 %",non,non,Aucune fleur,Aucune arobase,"29,4 km²",106 mètre(s),144 mètre(s),"48,5945","3,07094"
Pézarches (77131),https://www.journaldunet.com/management/ville/pezarches/ville-77360,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77131,77360,"Pézarchois, Pézarchoises",388 hab.,n°19 117 ,43 hab/km²,"9,3 %",non,non,Aucune fleur,Aucune arobase,"8,9 km²",107 mètre(s),139 mètre(s),"48,7441","2,99014"
Thorigny-sur-Marne (77400),https://www.journaldunet.com/management/ville/thorigny-sur-marne/ville-77464,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77400,77464,"Thorigniens, Thorigniennes",10 263 hab.,n°974 ,1 985 hab/km²,"10,2 %",non,non,Aucune fleur,2 arobase(s),"5,2 km²",38 mètre(s),122 mètre(s),"48,8919","2,71237"
Collégien (77090),https://www.journaldunet.com/management/ville/collegien/ville-77121,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77090,77121,"Collégeois, Collégeoises",3 380 hab.,n°3 267 ,792 hab/km²,"8,4 %",non,non,2 fleur(s),Aucune arobase,"4,3 km²",82 mètre(s),116 mètre(s),"48,8273","2,67745"
Congis-sur-Thérouanne (77440),https://www.journaldunet.com/management/ville/congis-sur-therouanne/ville-77126,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77440,77126,"Congissois, Congissoises",1 762 hab.,n°6 041 ,117 hab/km²,"10,7 %",non,non,Aucune fleur,Aucune arobase,"15,1 km²",42 mètre(s),122 mètre(s),"49,0125","2,97848"
Pommeuse (77515),https://www.journaldunet.com/management/ville/pommeuse/ville-77371,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77515,77371,"Pommeusiens, Pommeusiennes",2 953 hab.,n°3 743 ,231 hab/km²,"9,9 %",non,non,Aucune fleur,Aucune arobase,"12,8 km²",55 mètre(s),146 mètre(s),"48,8179","3,00613"
Penchard (77124),https://www.journaldunet.com/management/ville/penchard/ville-77358,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77124,77358,"Penchardais, Penchardaises",1 291 hab.,n°7 960 ,297 hab/km²,"11,5 %",non,non,Aucune fleur,Aucune arobase,"4,3 km²",98 mètre(s),158 mètre(s),"48,9908","2,85774"
Nemours (77140),https://www.journaldunet.com/management/ville/nemours/ville-77333,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77140,77333,"Nemouriens, Nemouriennes",13 165 hab.,n°743 ,1 216 hab/km²,"19,4 %",non,non,Aucune fleur,Aucune arobase,"10,8 km²",57 mètre(s),133 mètre(s),"48,2596","2,71108"
Conches-sur-Gondoire (77600),https://www.journaldunet.com/management/ville/conches-sur-gondoire/ville-77124,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77600,77124,"Conchois, Conchoises",1 756 hab.,n°6 060 ,1 155 hab/km²,"7,4 %",non,non,Aucune fleur,Aucune arobase,"1,5 km²",69 mètre(s),111 mètre(s),"48,8576","2,71923"
Mauregard (77990),https://www.journaldunet.com/management/ville/mauregard/ville-77282,Île-de-France,Seine-et-Marne,Communauté d'agglomération Roissy Pays de France,77990,77282,"Mauregalois, Mauregaloises",357 hab.,n°19 983 ,41 hab/km²,"7,3 %",non,non,Aucune fleur,Aucune arobase,"8,7 km²",98 mètre(s),126 mètre(s),"49,0289","2,57185"
Choisy-en-Brie (77320),https://www.journaldunet.com/management/ville/choisy-en-brie/ville-77116,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77320,77116,"Choiséens, Choiséennes",1 320 hab.,n°7 790 ,53 hab/km²,"10,0 %",non,non,1 fleur(s),Aucune arobase,"25,0 km²",99 mètre(s),164 mètre(s),"48,765","3,21324"
Pontault-Combault (77340),https://www.journaldunet.com/management/ville/pontault-combault/ville-77373/,Île-de-France,Seine-et-Marne,Communauté d'agglomération Paris - Vallée de la Marne,77340,77373,"Pontellois-Combalusiens, Pontelloises-Combalusiennes",37 867 hab.,n°201 ,2 776 hab/km²,"9,7 %",non,non,2 fleur(s),3 arobase(s),"13,6 km²",87 mètre(s),113 mètre(s),"48,7871","2,61407"
Nanteau-sur-Essonne (77760),https://www.journaldunet.com/management/ville/nanteau-sur-essonne/ville-77328,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77760,77328,"Nantessonnais, Nantessonnaises",431 hab.,n°18 049 ,33 hab/km²,"6,9 %",non,non,Aucune fleur,Aucune arobase,"12,9 km²",67 mètre(s),127 mètre(s),"48,3201","2,42677"
Émerainville (77184),https://www.journaldunet.com/management/ville/emerainville/ville-77169,Île-de-France,Seine-et-Marne,Communauté d'agglomération Paris - Vallée de la Marne,77184,77169,"Emerainvillois, Emerainvilloises",7 689 hab.,n°1 366 ,1 408 hab/km²,"9,7 %",non,non,2 fleur(s),2 arobase(s),"5,5 km²",83 mètre(s),113 mètre(s),"48,8198","2,60897"
Samoreau (77210),https://www.journaldunet.com/management/ville/samoreau/ville-77442,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77210,77442,"Samoréens, Samoréennes",2 351 hab.,n°4 615 ,416 hab/km²,"8,9 %",non,non,2 fleur(s),Aucune arobase,"5,7 km²",41 mètre(s),147 mètre(s),"48,42","2,76979"
Poincy (77470),https://www.journaldunet.com/management/ville/poincy/ville-77369,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77470,77369,"Pepitois, Pepitoises",708 hab.,n°12 903 ,113 hab/km²,"8,7 %",non,non,Aucune fleur,Aucune arobase,"6,2 km²",41 mètre(s),112 mètre(s),"48,9734","2,92373"
Courcelles-en-Bassée (77126),https://www.journaldunet.com/management/ville/courcelles-en-bassee/ville-77133,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77126,77133,"Coucellois, Coucelloises",201 hab.,n°26 080 ,19 hab/km²,"9,5 %",non,non,Aucune fleur,Aucune arobase,"10,8 km²",47 mètre(s),136 mètre(s),"48,4126","3,05294"
Puisieux (77139),https://www.journaldunet.com/management/ville/puisieux/ville-77380,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77139,77380,nc,320 hab.,n°21 154 ,35 hab/km²,"10,0 %",non,non,Aucune fleur,Aucune arobase,"9,2 km²",70 mètre(s),133 mètre(s),"49,0654","2,91537"
La Ferté-Gaucher (77320),https://www.journaldunet.com/management/ville/la-ferte-gaucher/ville-77182,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77320,77182,"Fertois, Fertoises",4 902 hab.,n°2 240 ,283 hab/km²,"21,4 %",non,non,1 fleur(s),Aucune arobase,"17,3 km²",107 mètre(s),188 mètre(s),"48,7882","3,30423"
Saint-Just-en-Brie (77370),https://www.journaldunet.com/management/ville/saint-just-en-brie/ville-77416,Île-de-France,Seine-et-Marne,Communauté de communes Brie Nangissienne,77370,77416,nc,241 hab.,n°24 226 ,33 hab/km²,"8,5 %",non,non,Aucune fleur,Aucune arobase,"7,4 km²",123 mètre(s),154 mètre(s),"48,611","3,12128"
Donnemarie-Dontilly (77520),https://www.journaldunet.com/management/ville/donnemarie-dontilly/ville-77159,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77520,77159,"Donnemaritains, Donnemaritaines",2 790 hab.,n°3 962 ,231 hab/km²,"12,2 %",non,non,Aucune fleur,Aucune arobase,"12,1 km²",68 mètre(s),139 mètre(s),"48,4778","3,11826"
Longperrier (77230),https://www.journaldunet.com/management/ville/longperrier/ville-77259,Île-de-France,Seine-et-Marne,Communauté d'agglomération Roissy Pays de France,77230,77259,"Longperrois, Longperroises",2 344 hab.,n°4 628 ,506 hab/km²,"14,2 %",non,non,Aucune fleur,Aucune arobase,"4,6 km²",89 mètre(s),172 mètre(s),"49,051","2,65542"
Saint-Jean-les-Deux-Jumeaux (77660),https://www.journaldunet.com/management/ville/saint-jean-les-deux-jumeaux/ville-77415,Île-de-France,Seine-et-Marne,Communauté de communes du Pays Fertois,77660,77415,"Saint-Jeannais, Saint-Jeannaises",1 273 hab.,n°8 063 ,96 hab/km²,"8,6 %",non,non,Aucune fleur,Aucune arobase,"13,3 km²",48 mètre(s),173 mètre(s),"48,9388","3,02696"
Sognolles-en-Montois (77520),https://www.journaldunet.com/management/ville/sognolles-en-montois/ville-77454,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77520,77454,"Sognolots, Sognolotes",384 hab.,n°19 236 ,38 hab/km²,"10,8 %",non,non,Aucune fleur,Aucune arobase,"10,1 km²",76 mètre(s),161 mètre(s),"48,5188","3,1522"
Fontaine-Fourches (77480),https://www.journaldunet.com/management/ville/fontaine-fourches/ville-77187,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77480,77187,"Fourchois, Fourchoises",595 hab.,n°14 706 ,50 hab/km²,"18,7 %",non,non,Aucune fleur,Aucune arobase,"11,8 km²",61 mètre(s),142 mètre(s),"48,412","3,39431"
Trocy-en-Multien (77440),https://www.journaldunet.com/management/ville/trocy-en-multien/ville-77476,Île-de-France,Seine-et-Marne,Communauté de communes du Pays de l'Ourcq,77440,77476,"Trocéens, Trocéennes",236 hab.,n°24 449 ,32 hab/km²,"5,6 %",non,non,Aucune fleur,Aucune arobase,"7,5 km²",65 mètre(s),141 mètre(s),"49,0424","2,96206"
Le Plessis-Feu-Aussoux (77540),https://www.journaldunet.com/management/ville/le-plessis-feu-aussoux/ville-77365,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77540,77365,"Plessis-Ansoldiens, Plessis-Ansoldiennes",601 hab.,n°14 603 ,108 hab/km²,"4,8 %",non,non,Aucune fleur,Aucune arobase,"5,6 km²",93 mètre(s),126 mètre(s),"48,7131","3,03899"
Courtomer (77390),https://www.journaldunet.com/management/ville/courtomer/ville-77138,Île-de-France,Seine-et-Marne,Communauté de communes Val Briard,77390,77138,nc,537 hab.,n°15 752 ,116 hab/km²,"8,6 %",non,non,Aucune fleur,Aucune arobase,"4,6 km²",76 mètre(s),114 mètre(s),"48,6581","2,89624"
Boulancourt (77760),https://www.journaldunet.com/management/ville/boulancourt/ville-77046,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77760,77046,"Boulancourtois, Boulancourtoises",341 hab.,n°20 457 ,53 hab/km²,"8,4 %",non,non,Aucune fleur,Aucune arobase,"6,4 km²",72 mètre(s),117 mètre(s),"48,2615","2,45112"
Chamigny (77260),https://www.journaldunet.com/management/ville/chamigny/ville-77078,Île-de-France,Seine-et-Marne,Communauté de communes du Pays Fertois,77260,77078,"Chamignots, Chamignottes",1 331 hab.,n°7 738 ,94 hab/km²,"10,6 %",non,non,Aucune fleur,Aucune arobase,"14,2 km²",50 mètre(s),198 mètre(s),"48,9852","3,14218"
Saint-Martin-du-Boschet (77320),https://www.journaldunet.com/management/ville/saint-martin-du-boschet/ville-77424,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77320,77424,nc,282 hab.,n°22 569 ,17 hab/km²,"7,9 %",non,non,Aucune fleur,Aucune arobase,"17,1 km²",143 mètre(s),201 mètre(s),"48,7324","3,4288"
Égreville (77620),https://www.journaldunet.com/management/ville/egreville/ville-77168,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77620,77168,"Egrevillois, Egrevilloises",2 148 hab.,n°5 043 ,67 hab/km²,"10,7 %",non,non,Aucune fleur,Aucune arobase,"31,8 km²",107 mètre(s),141 mètre(s),"48,1821","2,88437"
Meigneux (77520),https://www.journaldunet.com/management/ville/meigneux/ville-77286,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77520,77286,"Meigneusiens, Meigneusiennes",229 hab.,n°24 753 ,30 hab/km²,"7,6 %",non,non,Aucune fleur,Aucune arobase,"7,8 km²",108 mètre(s),146 mètre(s),"48,5138","3,09691"
La Brosse-Montceaux (77940),https://www.journaldunet.com/management/ville/la-brosse-montceaux/ville-77054,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77940,77054,"Brossois, Brossoises",752 hab.,n°12 324 ,63 hab/km²,"10,4 %",non,non,Aucune fleur,Aucune arobase,"12,0 km²",50 mètre(s),137 mètre(s),"48,3389","3,02363"
Cély (77930),https://www.journaldunet.com/management/ville/cely/ville-77065,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77930,77065,"Célysiens, Célysiennes",1 210 hab.,n°8 397 ,195 hab/km²,"6,1 %",non,non,Aucune fleur,Aucune arobase,"6,2 km²",48 mètre(s),96 mètre(s),"48,46","2,52531"
Touquin (77131),https://www.journaldunet.com/management/ville/touquin/ville-77469,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77131,77469,"Touquinois, Touquinoises",1 213 hab.,n°8 391 ,107 hab/km²,"9,4 %",non,non,Aucune fleur,Aucune arobase,"11,3 km²",89 mètre(s),131 mètre(s),"48,7331","3,02879"
Coulommiers (77120),https://www.journaldunet.com/management/ville/coulommiers/ville-77131,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Coulommiers,77120,77131,"Columériens, Columériennes",14 757 hab.,n°657 ,1 350 hab/km²,"14,5 %",non,non,3 fleur(s),Aucune arobase,"10,9 km²",66 mètre(s),156 mètre(s),"48,8123","3,09124"
Varennes-sur-Seine (77130),https://www.journaldunet.com/management/ville/varennes-sur-seine/ville-77482,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Montereau,77130,77482,"Varennois, Varennoises",3 542 hab.,n°3 117 ,353 hab/km²,"15,2 %",non,non,3 fleur(s),Aucune arobase,"10,0 km²",47 mètre(s),83 mètre(s),"48,3685","2,93052"
Larchant (77760),https://www.journaldunet.com/management/ville/larchant/ville-77244,Île-de-France,Seine-et-Marne,Communauté de communes Pays de Nemours,77760,77244,"Lyricantois, Lyricantoises",686 hab.,n°13 211 ,23 hab/km²,"7,3 %",non,non,Aucune fleur,Aucune arobase,"29,2 km²",62 mètre(s),141 mètre(s),"48,2829","2,59887"
Cerneux (77320),https://www.journaldunet.com/management/ville/cerneux/ville-77066,Île-de-France,Seine-et-Marne,Communauté de communes du Provinois,77320,77066,"Cernois, Cernoises",325 hab.,n°20 970 ,15 hab/km²,"14,9 %",non,non,Aucune fleur,Aucune arobase,"22,1 km²",132 mètre(s),192 mètre(s),"48,7048","3,34597"
Vignely (77450),https://www.journaldunet.com/management/ville/vignely/ville-77498,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Meaux,77450,77498,"Vigneliens, Vigneliennes",308 hab.,n°21 602 ,86 hab/km²,"5,0 %",non,non,Aucune fleur,Aucune arobase,"3,6 km²",42 mètre(s),84 mètre(s),"48,9326","2,81579"
Dampmart (77400),https://www.journaldunet.com/management/ville/dampmart/ville-77155,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77400,77155,"Dampmartois, Dampmartoises",3 404 hab.,n°3 242 ,575 hab/km²,"9,8 %",non,non,Aucune fleur,Aucune arobase,"5,9 km²",38 mètre(s),124 mètre(s),"48,8944","2,74598"
Montdauphin (77320),https://www.journaldunet.com/management/ville/montdauphin/ville-77303,Île-de-France,Seine-et-Marne,Communauté de communes des Deux Morin,77320,77303,"Montdauphinois, Montdauphinoises",243 hab.,n°24 118 ,25 hab/km²,"14,8 %",non,non,Aucune fleur,Aucune arobase,"9,8 km²",102 mètre(s),197 mètre(s),"48,8526","3,41949"
Pontault-Combault (77340),https://www.journaldunet.com/management/ville/pontault-combault/ville-77373,Île-de-France,Seine-et-Marne,Communauté d'agglomération Paris - Vallée de la Marne,77340,77373,"Pontellois-Combalusiens, Pontelloises-Combalusiennes",37 867 hab.,n°201 ,2 776 hab/km²,"9,7 %",non,non,2 fleur(s),3 arobase(s),"13,6 km²",87 mètre(s),113 mètre(s),"48,7871","2,61407"
Mondreville (77570),https://www.journaldunet.com/management/ville/mondreville/ville-77297,Île-de-France,Seine-et-Marne,Communauté de communes Gâtinais Val de Loing,77570,77297,"Mondrevillois, Mondrevilloises",329 hab.,n°20 845 ,16 hab/km²,"11,2 %",non,non,Aucune fleur,Aucune arobase,"20,3 km²",86 mètre(s),111 mètre(s),"48,151","2,59764"
Samois-sur-Seine (77920),https://www.journaldunet.com/management/ville/samois-sur-seine/ville-77441,Île-de-France,Seine-et-Marne,Communauté d'agglomération du Pays de Fontainebleau,77920,77441,"Samoisiens, Samoisiennes",2 047 hab.,n°5 272 ,323 hab/km²,"10,7 %",non,non,Aucune fleur,Aucune arobase,"6,3 km²",41 mètre(s),115 mètre(s),"48,4551","2,75291"
Compans (77290),https://www.journaldunet.com/management/ville/compans/ville-77123,Île-de-France,Seine-et-Marne,Communauté d'agglomération Roissy Pays de France,77290,77123,"Companais, Companaises",811 hab.,n°11 666 ,153 hab/km²,"13,3 %",non,non,3 fleur(s),Aucune arobase,"5,3 km²",57 mètre(s),101 mètre(s),"48,9892","2,65611"
Le Pin (77181),https://www.journaldunet.com/management/ville/le-pin/ville-77363,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77181,77363,nc,1 517 hab.,n°6 906 ,226 hab/km²,"9,3 %",non,non,Aucune fleur,Aucune arobase,"6,7 km²",49 mètre(s),135 mètre(s),"48,9144","2,62839"
Grisy-Suisnes (77166),https://www.journaldunet.com/management/ville/grisy-suisnes/ville-77217,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77166,77217,"Grisyssoliens, Grisyssoliennes",2 505 hab.,n°4 355 ,137 hab/km²,"6,9 %",non,non,Aucune fleur,Aucune arobase,"18,3 km²",56 mètre(s),106 mètre(s),"48,6845","2,67647"
Citry (77730),https://www.journaldunet.com/management/ville/citry/ville-77117,Île-de-France,Seine-et-Marne,Communauté de communes du Pays Fertois,77730,77117,"Citryats, Citryates",937 hab.,n°10 430 ,186 hab/km²,"11,6 %",non,non,Aucune fleur,Aucune arobase,"5,0 km²",54 mètre(s),191 mètre(s),"48,9609","3,24584"
Bussières (77750),https://www.journaldunet.com/management/ville/bussieres/ville-77057,Île-de-France,Seine-et-Marne,Communauté de communes du Pays Fertois,77750,77057,nc,521 hab.,n°16 089 ,59 hab/km²,"16,0 %",non,non,Aucune fleur,Aucune arobase,"8,8 km²",105 mètre(s),203 mètre(s),"48,9266","3,23747"
Pamfou (77830),https://www.journaldunet.com/management/ville/pamfou/ville-77354,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77830,77354,"Pamfolliens, Pamfolliennes",939 hab.,n°10 417 ,90 hab/km²,"6,0 %",non,non,Aucune fleur,Aucune arobase,"10,4 km²",82 mètre(s),128 mètre(s),"48,4686","2,86416"
Savins (77650),https://www.journaldunet.com/management/ville/savins/ville-77446,Île-de-France,Seine-et-Marne,Communauté de communes Bassée-Montois,77650,77446,"Savinois, Savinoises",607 hab.,n°14 482 ,92 hab/km²,"8,7 %",non,non,Aucune fleur,Aucune arobase,"6,6 km²",84 mètre(s),155 mètre(s),"48,5116","3,20518"
Précy-sur-Marne (77410),https://www.journaldunet.com/management/ville/precy-sur-marne/ville-77376,Île-de-France,Seine-et-Marne,Communauté de communes Plaines et Monts de France,77410,77376,"Précyens, Précyennes",811 hab.,n°11 670 ,169 hab/km²,"8,6 %",non,non,Aucune fleur,Aucune arobase,"4,8 km²",39 mètre(s),83 mètre(s),"48,9323","2,76826"
Jossigny (77600),https://www.journaldunet.com/management/ville/jossigny/ville-77237,Île-de-France,Seine-et-Marne,Communauté d'agglomération Marne et Gondoire,77600,77237,"Jossignaciens, Jossignaciennes",671 hab.,n°13 421 ,70 hab/km²,"7,1 %",non,non,Aucune fleur,Aucune arobase,"9,6 km²",107 mètre(s),149 mètre(s),"48,8311","2,76323"
Féricy (77133),https://www.journaldunet.com/management/ville/fericy/ville-77179,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77133,77179,"Fériciens, Fériciennes",586 hab.,n°14 879 ,63 hab/km²,"9,8 %",non,non,Aucune fleur,Aucune arobase,"9,3 km²",52 mètre(s),109 mètre(s),"48,4652","2,80348"
Voisenon (77950),https://www.journaldunet.com/management/ville/voisenon/ville-77528,Île-de-France,Seine-et-Marne,Communauté d'agglomération Melun Val de Seine,77950,77528,"Voisenonais, Voisenonaises",1 140 hab.,n°8 866 ,339 hab/km²,"5,8 %",non,non,Aucune fleur,Aucune arobase,"3,4 km²",69 mètre(s),96 mètre(s),"48,5702","2,66376"
Beauvoir (77390),https://www.journaldunet.com/management/ville/beauvoir/ville-77029,Île-de-France,Seine-et-Marne,Communauté de communes Brie des Rivières et Châteaux,77390,77029,nc,198 hab.,n°26 203 ,50 hab/km²,"4,1 %",non,non,Aucune fleur,Aucune arobase,"3,9 km²",85 mètre(s),114 mètre(s),"48,642","2,86359"
Combs-la-Ville (77380),https://www.journaldunet.com/management/ville/combs-la-ville/ville-77122,Île-de-France,Seine-et-Marne,Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart,77380,77122,"Combslavillais, Combslavillaises",21 811 hab.,n°419 ,1 506 hab/km²,"10,9 %",non,non,2 fleur(s),Aucune arobase,"14,5 km²",43 mètre(s),91 mètre(s),"48,6579","2,57517"
Juilly (77230),https://www.journaldunet.com/management/ville/juilly/ville-77241,Île-de-France,Seine-et-Marne,Communauté d'agglomération Roissy Pays de France,77230,77241,nc,1 989 hab.,n°5 416 ,256 hab/km²,"7,7 %",non,non,Aucune fleur,Aucune arobase,"7,8 km²",77 mètre(s),114 mètre(s),"49,0216","2,70583"
